frame_count,fps,model_time,num_faces,image_width,image_height,image_channels
0,0.0,0.06399321556091309,1,640,480,3
1,2.6750223699592652,0.08929657936096191,1,640,480,3
2,4.2818026368847395,0.08610749244689941,1,640,480,3
3,5.452243893751779,0.07662320137023926,1,640,480,3
4,6.427581736355692,0.06541776657104492,1,640,480,3
5,7.167427445737244,0.07047891616821289,1,640,480,3
6,7.647087744609914,0.08319401741027832,1,640,480,3
7,7.989022217058284,0.08020901679992676,1,640,480,3
8,8.539755263344755,0.055581092834472656,1,640,480,3
9,8.971577092075467,0.06168007850646973,1,640,480,3
10,9.359381798950771,0.06052684783935547,1,640,480,3
11,9.71146081492561,0.05954766273498535,1,640,480,3
12,10.043208126251743,0.057464599609375,1,640,480,3
13,10.325950037098915,0.05948472023010254,1,640,480,3
14,10.57094863229047,0.06067299842834473,1,640,480,3
15,10.786455826827098,0.06043386459350586,1,640,480,3
16,11.006452931323393,0.05838179588317871,1,640,480,3
17,11.206707254205236,0.058565378189086914,1,640,480,3
18,11.387310792741742,0.058989524841308594,1,640,480,3
19,11.555744384916471,0.05885815620422363,1,640,480,3
20,11.689838172693554,0.06202387809753418,1,640,480,3
21,11.837806628497702,0.058393239974975586,1,640,480,3
22,11.970982059747564,0.059053659439086914,1,640,480,3
23,12.043216210260997,0.06729769706726074,1,640,480,3
24,12.189922608756621,0.054460763931274414,1,640,480,3
25,12.325057982932119,0.0548863410949707,1,640,480,3
26,12.449303678822021,0.055472373962402344,1,640,480,3
27,12.574602981785258,0.054201364517211914,1,640,480,3
28,12.66601963548036,0.057689666748046875,1,640,480,3
29,12.765757261857159,0.05594515800476074,1,640,480,3
30,12.803512682465069,0.06619524955749512,1,640,480,3
31,12.834019105819534,0.06711602210998535,1,640,480,3
32,12.8599338634465,0.0676877498626709,1,640,480,3
33,12.89248878478923,0.0660090446472168,1,640,480,3
34,12.971026869479884,0.056119680404663086,1,640,480,3
35,13.04414553222192,0.05668330192565918,1,640,480,3
36,13.11821497338868,0.055867910385131836,1,640,480,3
37,13.138974345645174,0.06768155097961426,1,640,480,3
38,13.177634238266128,0.062392473220825195,1,640,480,3
39,13.24233227096994,0.056035757064819336,1,640,480,3
40,13.23354102975927,0.07198524475097656,1,640,480,3
41,13.296326049907131,0.05581045150756836,1,640,480,3
42,13.355464571934057,0.05599164962768555,1,640,480,3
43,13.356261270301353,0.06944537162780762,1,640,480,3
44,13.378242431535499,0.06420612335205078,1,640,480,3
45,13.435825359600996,0.05517888069152832,1,640,480,3
46,13.492374288275764,0.05491375923156738,1,640,480,3
47,13.546733868351986,0.05498075485229492,1,640,480,3
48,13.550494366182111,0.06766653060913086,1,640,480,3
49,13.599394885149072,0.055628061294555664,1,640,480,3
50,13.646202836981145,0.05564403533935547,1,640,480,3
51,13.641549177481105,0.06989908218383789,1,640,480,3
52,13.688786694455485,0.0550379753112793,1,640,480,3
53,13.673071680718333,0.07231330871582031,1,640,480,3
54,13.706156666797984,0.05840301513671875,1,640,480,3
55,13.728614012764478,0.061309814453125,1,640,480,3
56,13.75239209369713,0.06066012382507324,1,640,480,3
57,13.789528393873265,0.05653262138366699,1,640,480,3
58,13.786503985635763,0.06828069686889648,1,640,480,3
59,13.826388997529548,0.0550386905670166,1,640,480,3
60,13.836002799987597,0.06415390968322754,1,640,480,3
61,13.834381738516509,0.06761813163757324,1,640,480,3
62,13.84351596029543,0.0641624927520752,1,640,480,3
63,13.852166926271344,0.0641489028930664,1,640,480,3
64,13.862331559285657,0.06348919868469238,1,640,480,3
65,13.877438537064318,0.06187081336975098,1,640,480,3
66,13.913777463248303,0.054589033126831055,1,640,480,3
67,13.927466727672583,0.062000274658203125,1,640,480,3
68,13.935569713743282,0.0639183521270752,1,640,480,3
69,13.964899054163876,0.056124210357666016,1,640,480,3
70,13.978073944069665,0.06190061569213867,1,640,480,3
71,13.993612840707,0.06076335906982422,1,640,480,3
72,14.003122058869149,0.06290864944458008,1,640,480,3
73,14.033934724442162,0.0547480583190918,1,640,480,3
74,14.02408939783554,0.06995296478271484,1,640,480,3
75,14.024189762178484,0.05856180191040039,1,640,480,3
76,14.03743953050576,0.06093478202819824,1,640,480,3
77,13.997722736123317,0.08159208297729492,1,640,480,3
78,13.977183346170271,0.07248616218566895,1,640,480,3
79,14.00407455788376,0.055483102798461914,1,640,480,3
80,14.028928554271758,0.05611276626586914,1,640,480,3
81,14.029676102055054,0.06585836410522461,1,640,480,3
82,14.03656790083451,0.06317949295043945,1,640,480,3
83,14.043853656338484,0.0629117488861084,1,640,480,3
84,14.047180570671399,0.06454992294311523,1,640,480,3
85,14.059801150793875,0.06058835983276367,1,640,480,3
86,14.085105538871533,0.05490756034851074,1,640,480,3
87,14.075517218807361,0.07000565528869629,1,640,480,3
88,14.099641521800732,0.05520987510681152,1,640,480,3
89,14.104665288895216,0.06354284286499023,1,640,480,3
90,14.11761273983121,0.059864044189453125,1,640,480,3
91,14.140497425616743,0.055098772048950195,1,640,480,3
92,14.162828126258226,0.05507969856262207,1,640,480,3
93,14.181477411740206,0.056433916091918945,1,640,480,3
94,14.201008610733822,0.056137800216674805,1,640,480,3
95,14.199613139101542,0.0659780502319336,1,640,480,3
96,14.22233977238361,0.05445289611816406,1,640,480,3
97,14.236037015534365,0.05405449867248535,1,640,480,3
98,14.228895699679114,0.06857657432556152,1,640,480,3
99,14.247293326783533,0.056557655334472656,1,640,480,3
100,14.269165819163238,0.054467201232910156,1,640,480,3
101,14.289131334217391,0.05536460876464844,1,640,480,3
102,14.307309767385117,0.056046485900878906,1,640,480,3
103,14.325199667068743,0.05588245391845703,1,640,480,3
104,14.343085683117973,0.05590534210205078,1,640,480,3
105,14.355807462731619,0.05841684341430664,1,640,480,3
106,14.339225215990043,0.07319164276123047,1,640,480,3
107,14.329177528718985,0.06982421875,1,640,480,3
108,14.348908724200559,0.05462026596069336,1,640,480,3
109,14.365330739914596,0.05594611167907715,1,640,480,3
110,14.3764461990355,0.058801889419555664,1,640,480,3
111,14.367224608884923,0.06962013244628906,1,640,480,3
112,14.360834321217228,0.06816315650939941,1,640,480,3
113,14.342318766146807,0.07493329048156738,1,640,480,3
114,14.34478620612771,0.06009197235107422,1,640,480,3
115,14.35482675267689,0.05910754203796387,1,640,480,3
116,14.363207555246358,0.06003141403198242,1,640,480,3
117,14.370771165648106,0.06041312217712402,1,640,480,3
118,14.370030768832326,0.06513500213623047,1,640,480,3
119,14.384896915509042,0.055850982666015625,1,640,480,3
120,14.400635037769458,0.055663347244262695,1,640,480,3
121,14.417507544599506,0.05481433868408203,1,640,480,3
122,14.431292936512165,0.05630993843078613,1,640,480,3
123,14.424124792340168,0.06866621971130371,1,640,480,3
124,14.423926358487698,0.05697154998779297,1,640,480,3
125,14.439010268153126,0.055349111557006836,1,640,480,3
126,14.430722756845839,0.06930971145629883,1,640,480,3
127,14.424010666275583,0.06847357749938965,1,640,480,3
128,14.421392330455113,0.06603717803955078,1,640,480,3
129,14.427298897628575,0.06085014343261719,1,640,480,3
130,14.434688562570761,0.05976724624633789,1,640,480,3
131,14.43763912175936,0.06241655349731445,1,640,480,3
132,14.452020370043451,0.05526900291442871,1,640,480,3
133,14.4519824329282,0.06430792808532715,1,640,480,3
134,14.467791909295242,0.05417299270629883,1,640,480,3
135,14.482217492158112,0.05490612983703613,1,640,480,3
136,14.497147309785495,0.054529666900634766,1,640,480,3
137,14.51189774558331,0.054547786712646484,1,640,480,3
138,14.501024266733848,0.07126450538635254,1,640,480,3
139,14.51376961322721,0.05573248863220215,1,640,480,3
140,14.524557910077597,0.056893348693847656,1,640,480,3
141,14.518521253519177,0.068023681640625,1,640,480,3
142,14.532000263609904,0.05479240417480469,1,640,480,3
143,14.538516646095792,0.05953645706176758,1,640,480,3
144,14.54532269614001,0.059195518493652344,1,640,480,3
